,Neighborhood,Sex Offences,Assaults,Robbery,Break & Enter,Auto Theft,Other Theft,Offensive Weapons
0,VPD Arbutus Ridge ,0.009523809523809525,0.003777777777777778,0.001607717041800643,0.016613418530351438,0.00939306358381503,0.006240884577553166,0.0
1,VPD Central_Business_District,0.3161904761904762,0.4042222222222222,0.41479099678456594,0.16996805111821087,0.13367052023121387,0.3723501678933623,0.537122969837587
2,VPD Dunbar-Southlands,0.011428571428571429,0.0035555555555555557,0.003215434083601286,0.01810436634717785,0.00939306358381503,0.008954312654750196,0.002320185614849188
3,VPD Fairview,0.049523809523809526,0.026444444444444444,0.02090032154340836,0.06751863684771033,0.03468208092485549,0.0600006783570193,0.019721577726218097
4,VPD Grandview-Woodland,0.05904761904761905,0.052444444444444446,0.05627009646302251,0.06219382321618743,0.08815028901734104,0.04063358545602551,0.024361948955916472
5,VPD Hastings-Sunrise,0.05142857142857143,0.026222222222222223,0.01929260450160772,0.04195953141640043,0.06141618497109826,0.03106875148390598,0.008120649651972157
6,VPD Kensington-Cedar_Cottage,0.05142857142857143,0.034444444444444444,0.03858520900321544,0.04387646432374867,0.06213872832369942,0.036902621849879594,0.025522041763341066
7,VPD Kerrisdale,0.005714285714285714,0.004,0.00482315112540193,0.02939297124600639,0.016618497109826588,0.008513380592205678,0.0034802784222737818
8,VPD Killarney,0.02095238095238095,0.011111111111111112,0.006430868167202572,0.016400425985090523,0.02745664739884393,0.014008072448529661,0.008120649651972157
9,VPD Kitsilano,0.0380952380952381,0.020444444444444446,0.01607717041800643,0.05410010649627263,0.04407514450867052,0.039276871417426994,0.010440835266821345
10,VPD Marpole,0.017142857142857144,0.017333333333333333,0.017684887459807074,0.042172523961661344,0.02601156069364162,0.020554217684767492,0.012761020881670533
11,VPD Mount-Pleasant,0.05333333333333334,0.050888888888888886,0.04662379421221865,0.08072417465388712,0.0838150289017341,0.06610589153071261,0.04060324825986079
12,VPD Musqueam,0.007619047619047619,0.0024444444444444444,0.0,0.00021299254526091586,0.002890173410404624,0.00037309636061459147,0.001160092807424594
13,VPD Oakridge,0.005714285714285714,0.006,0.003215434083601286,0.031309904153354634,0.020953757225433526,0.012549604857036259,0.00580046403712297
14,VPD Renfrew-Collingwood,0.022857142857142857,0.03177777777777778,0.04983922829581994,0.044515441959531415,0.08164739884393063,0.04450022046603127,0.019721577726218097
15,VPD Riley_Park,0.02857142857142857,0.011333333333333334,0.012861736334405145,0.03578274760383387,0.04696531791907514,0.02489570260828274,0.01160092807424594
16,VPD Shaughnessy,0.011428571428571429,0.0022222222222222222,0.0,0.02406815761448349,0.00939306358381503,0.005698198962113761,0.001160092807424594
17,VPD South_Cambie,0.005714285714285714,0.005111111111111111,0.006430868167202572,0.017678381256656016,0.007947976878612716,0.010141437438523896,0.004640371229698376
18,VPD Stanley_Park,0.007619047619047619,0.0024444444444444444,0.003215434083601286,0.0023429179978700747,0.002167630057803468,0.0059356239188685005,0.0
19,VPD Strathcona,0.08,0.16311111111111112,0.1720257234726688,0.07263045793397231,0.07297687861271676,0.052029983380253025,0.21693735498839908
20,VPD Sunset,0.02095238095238095,0.027777777777777776,0.01929260450160772,0.03343982960596379,0.04841040462427745,0.02384424922836889,0.015081206496519721
21,VPD Victoria-Fraserview,0.02095238095238095,0.010222222222222223,0.01929260450160772,0.014909478168264111,0.02384393063583815,0.015093443679408472,0.00580046403712297
22,VPD West_End,0.09904761904761905,0.07711111111111112,0.06752411575562701,0.065814696485623,0.07514450867052024,0.09117118339382017,0.024361948955916472
23,VPD West_Point_Grey,0.005714285714285714,0.005555555555555556,0.0,0.014270500532481363,0.01083815028901734,0.009157819760539972,0.001160092807424594
24,TPS D11,0.04289372599231754,0.03979769505016168,0.05378787878787879,0.044556962025316456,0.04921968787515006,0.06013518221726709,0.04690431519699812
25,TPS D12,0.05057618437900128,0.04601608490174944,0.03257575757575758,0.03291139240506329,0.11164465786314526,0.05037976447634311,0.04815509693558474
26,TPS D13,0.040973111395646605,0.03374512892794959,0.04924242424242424,0.06278481012658228,0.06362545018007203,0.03226256010034144,0.02689180737961226
