Neighbourhood station,Assault,Sexual assaults,Robberies,Breaking and entering,Auto theft,Petty larceny,Firearms offences,Controlled Drugs and Substances Act
1,81,22,17,69,66,202,3,16
3,394,50,40,175,86,286,6,33
4,167,25,31,74,60,190,2,14
5,284,44,50,188,175,603,7,23
7,440,67,73,271,377,756,5,34
8,522,58,52,148,69,411,10,36
9,89,11,15,68,45,179,2,8
11,447,44,83,174,88,494,10,48
13,527,62,77,211,99,724,4,32
26,660,82,144,363,258,"1,389",13,86
55,28,2,0,1,0,150,63,5
12,221,33,53,160,42,675,4,60
15,587,84,89,343,87,798,16,82
16,415,43,61,221,64,500,6,44
20,525,81,97,250,100,"2,687",16,125
21,709,79,160,248,122,"2,343",25,426
22,388,65,87,268,84,814,8,128
50,286,47,47,18,0,173,1,43
10,226,31,56,123,165,452,2,11
27,376,66,61,222,197,686,9,45
30,410,67,73,131,159,581,15,50
31,300,35,69,249,138,465,9,39
33,265,33,44,60,74,213,4,23
35,268,41,70,359,110,699,0,31
38,867,121,194,764,154,"2,025",12,88
44,525,83,90,313,124,870,10,66
23,370,72,84,248,96,667,10,106
39,"1,004",108,125,310,307,747,29,165
42,460,50,78,189,292,787,14,64
45,264,42,50,105,155,315,7,11
46,216,43,47,104,120,590,3,15
48,648,145,118,358,251,934,10,78
49,306,121,52,209,157,474,9,48
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
